algorithm,text_length,pattern_length,execution,matches,prep_time_ms,time_ms
Naive,10485762,10,4,10319,0,37
Naive,10485762,10,5,10319,0,35
Naive,10485762,10,6,10319,0,37
Naive,10485762,10,7,10319,0,38
Naive,10485762,10,8,10319,0,39
Naive,10485762,10,9,10319,0,36
KMP,10485762,2,0,2620955,0,122
KMP,10485762,2,1,2620955,0,123
KMP,10485762,2,2,2620955,0,129
KMP,10485762,2,3,2620955,0,125
KMP,10485762,2,4,2620955,0,121
KMP,10485762,2,5,2620955,0,122
KMP,10485762,2,6,2620955,0,121
KMP,10485762,2,7,2620955,0,125
KMP,10485762,2,8,2620955,0,123
KMP,10485762,2,9,2620955,0,124
KMP,10485762,3,0,1312350,0,95
KMP,10485762,3,1,1312350,0,95
KMP,10485762,3,2,1312350,0,93
KMP,10485762,3,3,1312350,0,92
KMP,10485762,3,4,1312350,0,92
KMP,10485762,3,5,1312350,0,92
KMP,10485762,3,6,1312350,0,94
KMP,10485762,3,7,1312350,0,93
KMP,10485762,3,8,1312350,0,93
KMP,10485762,3,9,1312350,0,91
KMP,10485762,4,0,655164,0,78
KMP,10485762,4,1,655164,0,78
KMP,10485762,4,2,655164,0,79
KMP,10485762,4,3,655164,0,78
KMP,10485762,4,4,655164,0,79
KMP,10485762,4,5,655164,0,81
KMP,10485762,4,6,655164,0,81
KMP,10485762,4,7,655164,0,77
KMP,10485762,4,8,655164,0,78
KMP,10485762,4,9,655164,0,79
KMP,10485762,5,0,327566,0,73
KMP,10485762,5,1,327566,0,70
KMP,10485762,5,2,327566,0,73
KMP,10485762,5,3,327566,0,71
KMP,10485762,5,4,327566,0,71
KMP,10485762,5,5,327566,0,71
KMP,10485762,5,6,327566,0,73
KMP,10485762,5,7,327566,0,71
KMP,10485762,5,8,327566,0,71
KMP,10485762,5,9,327566,0,70
KMP,10485762,6,0,164179,0,67
KMP,10485762,6,1,164179,0,67
KMP,10485762,6,2,164179,0,68
KMP,10485762,6,3,164179,0,68
KMP,10485762,6,4,164179,0,68
KMP,10485762,6,5,164179,0,69
KMP,10485762,6,6,164179,0,67
KMP,10485762,6,7,164179,0,69
KMP,10485762,6,8,164179,0,67
KMP,10485762,6,9,164179,0,68
KMP,10485762,7,0,81586,0,64
KMP,10485762,7,1,81586,0,64
KMP,10485762,7,2,81586,0,63
KMP,10485762,7,3,81586,0,66
KMP,10485762,7,4,81586,0,64
KMP,10485762,7,5,81586,0,64
KMP,10485762,7,6,81586,0,64
KMP,10485762,7,7,81586,0,64
KMP,10485762,7,8,81586,0,64
KMP,10485762,7,9,81586,0,62
KMP,10485762,8,0,40842,0,63
KMP,10485762,8,1,40842,0,64
KMP,10485762,8,2,40842,0,63
KMP,10485762,8,3,40842,0,62
KMP,10485762,8,4,40842,0,62
KMP,10485762,8,5,40842,0,62
KMP,10485762,8,6,40842,0,64
KMP,10485762,8,7,40842,0,63
KMP,10485762,8,8,40842,0,63
KMP,10485762,8,9,40842,0,62
KMP,10485762,9,0,20399,0,62
KMP,10485762,9,1,20399,0,61
KMP,10485762,9,2,20399,0,59
KMP,10485762,9,3,20399,0,59
KMP,10485762,9,4,20399,0,62
KMP,10485762,9,5,20399,0,60
KMP,10485762,9,6,20399,0,61
KMP,10485762,9,7,20399,0,61
KMP,10485762,9,8,20399,0,60
KMP,10485762,9,9,20399,0,60
KMP,10485762,10,0,10319,0,62
KMP,10485762,10,1,10319,0,62
KMP,10485762,10,2,10319,0,63
KMP,10485762,10,3,10319,0,62
KMP,10485762,10,4,10319,0,65
KMP,10485762,10,5,10319,0,63
KMP,10485762,10,6,10319,0,64
KMP,10485762,10,7,10319,0,61
KMP,10485762,10,8,10319,0,63
KMP,10485762,10,9,10319,0,62
Horspool,10485762,2,0,2620955,0,217
Horspool,10485762,2,1,2620955,0,217
Horspool,10485762,2,2,2620955,0,217
Horspool,10485762,2,3,2620955,0,215
Horspool,10485762,2,4,2620955,0,215
Horspool,10485762,2,5,2620955,0,214
Horspool,10485762,2,6,2620955,0,217
Horspool,10485762,2,7,2620955,0,222
Horspool,10485762,2,8,2620955,0,213
Horspool,10485762,2,9,2620955,0,210
Horspool,10485762,3,0,1312350,0,115
Horspool,10485762,3,1,1312350,0,115
Horspool,10485762,3,2,1312350,0,113
Horspool,10485762,3,3,1312350,0,115
Horspool,10485762,3,4,1312350,0,113
Horspool,10485762,3,5,1312350,0,112
Horspool,10485762,3,6,1312350,0,111
Horspool,10485762,3,7,1312350,0,110
Horspool,10485762,3,8,1312350,0,112
Horspool,10485762,3,9,1312350,0,110
Horspool,10485762,4,0,655164,0,85
Horspool,10485762,4,1,655164,0,84
Horspool,10485762,4,2,655164,0,84
Horspool,10485762,4,3,655164,0,87
Horspool,10485762,4,4,655164,0,86
Horspool,10485762,4,5,655164,0,85
Horspool,10485762,4,6,655164,0,85
Horspool,10485762,4,7,655164,0,83
Horspool,10485762,4,8,655164,0,85
Horspool,10485762,4,9,655164,0,83
Horspool,10485762,5,0,327566,0,57
Horspool,10485762,5,1,327566,0,56
Horspool,10485762,5,2,327566,0,56
Horspool,10485762,5,3,327566,0,56
Horspool,10485762,5,4,327566,0,57
Horspool,10485762,5,5,327566,0,56
Horspool,10485762,5,6,327566,0,56
Horspool,10485762,5,7,327566,0,57
Horspool,10485762,5,8,327566,0,55
Horspool,10485762,5,9,327566,0,59
Horspool,10485762,6,0,164179,0,34
Horspool,10485762,6,1,164179,0,33
Horspool,10485762,6,2,164179,0,33
Horspool,10485762,6,3,164179,0,33
Horspool,10485762,6,4,164179,0,33
Horspool,10485762,6,5,164179,0,34
Horspool,10485762,6,6,164179,0,33
Horspool,10485762,6,7,164179,0,33
Horspool,10485762,6,8,164179,0,33
Horspool,10485762,6,9,164179,0,33
Horspool,10485762,7,0,81586,0,48
Horspool,10485762,7,1,81586,0,47
Horspool,10485762,7,2,81586,0,47
Horspool,10485762,7,3,81586,0,48
Horspool,10485762,7,4,81586,0,47
Horspool,10485762,7,5,81586,0,47
Horspool,10485762,7,6,81586,0,47
Horspool,10485762,7,7,81586,0,47
Horspool,10485762,7,8,81586,0,47
Horspool,10485762,7,9,81586,0,48
Horspool,10485762,8,0,40842,0,44
Horspool,10485762,8,1,40842,0,43
Horspool,10485762,8,2,40842,0,44
Horspool,10485762,8,3,40842,0,48
Horspool,10485762,8,4,40842,0,46
Horspool,10485762,8,5,40842,0,46
Horspool,10485762,8,6,40842,0,46
Horspool,10485762,8,7,40842,0,44
Horspool,10485762,8,8,40842,0,44
Horspool,10485762,8,9,40842,0,44
Horspool,10485762,9,0,20399,0,34
Horspool,10485762,9,1,20399,0,35
Horspool,10485762,9,2,20399,0,32
Horspool,10485762,9,3,20399,0,32
Horspool,10485762,9,4,20399,0,32
Horspool,10485762,9,5,20399,0,34
Horspool,10485762,9,6,20399,0,33
Horspool,10485762,9,7,20399,0,32
Horspool,10485762,9,8,20399,0,32
Horspool,10485762,9,9,20399,0,32
Horspool,10485762,10,0,10319,0,21
Horspool,10485762,10,1,10319,0,21
Horspool,10485762,10,2,10319,0,21
Horspool,10485762,10,3,10319,0,22
Horspool,10485762,10,4,10319,0,22
Horspool,10485762,10,5,10319,0,21
Horspool,10485762,10,6,10319,0,22
Horspool,10485762,10,7,10319,0,21
Horspool,10485762,10,8,10319,0,22
Horspool,10485762,10,9,10319,0,23
Shift-And,10485762,2,0,2620955,0,52
Shift-And,10485762,2,1,2620955,0,54
Shift-And,10485762,2,2,2620955,0,53
Shift-And,10485762,2,3,2620955,0,56
Shift-And,10485762,2,4,2620955,0,54
Shift-And,10485762,2,5,2620955,0,56
Shift-And,10485762,2,6,2620955,0,53
Shift-And,10485762,2,7,2620955,0,52
Shift-And,10485762,2,8,2620955,0,54
Shift-And,10485762,2,9,2620955,0,53
Shift-And,10485762,3,0,1312350,0,29
Shift-And,10485762,3,1,1312350,0,29
Shift-And,10485762,3,2,1312350,0,30
Shift-And,10485762,3,3,1312350,0,31
Shift-And,10485762,3,4,1312350,0,29
Shift-And,10485762,3,5,1312350,0,29
Shift-And,10485762,3,6,1312350,0,31
Shift-And,10485762,3,7,1312350,0,29
Shift-And,10485762,3,8,1312350,0,30
Shift-And,10485762,3,9,1312350,0,29
Shift-And,10485762,4,0,655164,0,17
Shift-And,10485762,4,1,655164,0,16
Shift-And,10485762,4,2,655164,0,18
Shift-And,10485762,4,3,655164,0,17
Shift-And,10485762,4,4,655164,0,17
Shift-And,10485762,4,5,655164,0,17
Shift-And,10485762,4,6,655164,0,16
Shift-And,10485762,4,7,655164,0,18
Shift-And,10485762,4,8,655164,0,16
Shift-And,10485762,4,9,655164,0,17
Shift-And,10485762,5,0,327566,0,13
Shift-And,10485762,5,1,327566,0,13
