algorithm,text_length,pattern_length,execution,matches,prep_time_ms,time_ms
Weak Boyer Moore,10000000,2,3,625497,0,46
Weak Boyer Moore,10000000,2,4,625497,0,39
Weak Boyer Moore,10000000,2,5,625497,0,36
Weak Boyer Moore,10000000,2,6,625497,0,37
Weak Boyer Moore,10000000,2,7,625497,0,36
Weak Boyer Moore,10000000,2,8,625497,0,35
Weak Boyer Moore,10000000,2,9,625497,0,37
Weak Memorizing Boyer Moore,10000000,2,0,625497,0,40
Weak Memorizing Boyer Moore,10000000,2,1,625497,0,43
Weak Memorizing Boyer Moore,10000000,2,2,625497,0,40
Weak Memorizing Boyer Moore,10000000,2,3,625497,0,41
Weak Memorizing Boyer Moore,10000000,2,4,625497,0,42
Weak Memorizing Boyer Moore,10000000,2,5,625497,0,47
Weak Memorizing Boyer Moore,10000000,2,6,625497,0,44
Weak Memorizing Boyer Moore,10000000,2,7,625497,0,45
Weak Memorizing Boyer Moore,10000000,2,8,625497,0,43
Weak Memorizing Boyer Moore,10000000,2,9,625497,0,43
Weak Turbo Boyer Moore,10000000,2,0,625497,0,53
Weak Turbo Boyer Moore,10000000,2,1,625497,0,47
Weak Turbo Boyer Moore,10000000,2,2,625497,0,50
Weak Turbo Boyer Moore,10000000,2,3,625497,0,48
Weak Turbo Boyer Moore,10000000,2,4,625497,0,50
Weak Turbo Boyer Moore,10000000,2,5,625497,0,46
Weak Turbo Boyer Moore,10000000,2,6,625497,0,42
Weak Turbo Boyer Moore,10000000,2,7,625497,0,45
Weak Turbo Boyer Moore,10000000,2,8,625497,0,46
Weak Turbo Boyer Moore,10000000,2,9,625497,0,45
Naive,10000000,2,0,625497,0,38
Naive,10000000,2,1,625497,0,35
Naive,10000000,2,2,625497,0,35
Naive,10000000,2,3,625497,0,35
Naive,10000000,2,4,625497,0,35
Naive,10000000,2,5,625497,0,35
Naive,10000000,2,6,625497,0,34
Naive,10000000,2,7,625497,0,36
Naive,10000000,2,8,625497,0,35
Naive,10000000,2,9,625497,0,35
KMP,10000000,2,0,625497,0,64
KMP,10000000,2,1,625497,0,66
KMP,10000000,2,2,625497,0,66
KMP,10000000,2,3,625497,0,66
KMP,10000000,2,4,625497,0,71
KMP,10000000,2,5,625497,0,73
KMP,10000000,2,6,625497,0,77
KMP,10000000,2,7,625497,0,65
KMP,10000000,2,8,625497,0,64
KMP,10000000,2,9,625497,0,69
Horspool,10000000,2,0,625497,0,98
Horspool,10000000,2,1,625497,0,99
Horspool,10000000,2,2,625497,0,105
Horspool,10000000,2,3,625497,0,97
Horspool,10000000,2,4,625497,0,95
Horspool,10000000,2,5,625497,0,95
Horspool,10000000,2,6,625497,0,100
Horspool,10000000,2,7,625497,0,95
Horspool,10000000,2,8,625497,0,92
Horspool,10000000,2,9,625497,0,97
Shift-And,10000000,2,0,625497,0,22
Shift-And,10000000,2,1,625497,0,16
Shift-And,10000000,2,2,625497,0,14
Shift-And,10000000,2,3,625497,0,16
Shift-And,10000000,2,4,625497,0,15
Shift-And,10000000,2,5,625497,0,15
Shift-And,10000000,2,6,625497,0,15
Shift-And,10000000,2,7,625497,0,16
Shift-And,10000000,2,8,625497,0,17
Shift-And,10000000,2,9,625497,0,15
Weak Boyer Moore,10000000,2,0,624153,0,29
Weak Boyer Moore,10000000,2,1,624153,0,34
Weak Boyer Moore,10000000,2,2,624153,0,30
Weak Boyer Moore,10000000,2,3,624153,0,26
Weak Boyer Moore,10000000,2,4,624153,0,26
Weak Boyer Moore,10000000,2,5,624153,0,27
Weak Boyer Moore,10000000,2,6,624153,0,27
Weak Boyer Moore,10000000,2,7,624153,0,25
Weak Boyer Moore,10000000,2,8,624153,0,25
Weak Boyer Moore,10000000,2,9,624153,0,24
Weak Memorizing Boyer Moore,10000000,2,0,624153,0,30
Weak Memorizing Boyer Moore,10000000,2,1,624153,0,30
Weak Memorizing Boyer Moore,10000000,2,2,624153,0,34
Weak Memorizing Boyer Moore,10000000,2,3,624153,0,40
Weak Memorizing Boyer Moore,10000000,2,4,624153,0,32
Weak Memorizing Boyer Moore,10000000,2,5,624153,0,32
Weak Memorizing Boyer Moore,10000000,2,6,624153,0,29
Weak Memorizing Boyer Moore,10000000,2,7,624153,0,31
Weak Memorizing Boyer Moore,10000000,2,8,624153,0,28
Weak Memorizing Boyer Moore,10000000,2,9,624153,0,29
Weak Turbo Boyer Moore,10000000,2,0,624153,0,31
Weak Turbo Boyer Moore,10000000,2,1,624153,0,31
Weak Turbo Boyer Moore,10000000,2,2,624153,0,30
Weak Turbo Boyer Moore,10000000,2,3,624153,0,31
Weak Turbo Boyer Moore,10000000,2,4,624153,0,36
Weak Turbo Boyer Moore,10000000,2,5,624153,0,36
