algorithm,text_length,pattern_length,execution,matches,prep_time_ms,time_ms
Weak Boyer Moore,10000000,2,4,15026,0,23
Weak Boyer Moore,10000000,2,5,15026,0,20
Weak Boyer Moore,10000000,2,6,15026,0,19
Weak Boyer Moore,10000000,2,7,15026,0,19
Weak Boyer Moore,10000000,2,8,15026,0,21
Weak Boyer Moore,10000000,2,9,15026,0,21
Weak Memorizing Boyer Moore,10000000,2,0,15026,0,26
Weak Memorizing Boyer Moore,10000000,2,1,15026,0,26
Weak Memorizing Boyer Moore,10000000,2,2,15026,0,27
Weak Memorizing Boyer Moore,10000000,2,3,15026,0,27
Weak Memorizing Boyer Moore,10000000,2,4,15026,0,28
Weak Memorizing Boyer Moore,10000000,2,5,15026,0,29
Weak Memorizing Boyer Moore,10000000,2,6,15026,0,26
Weak Memorizing Boyer Moore,10000000,2,7,15026,0,27
Weak Memorizing Boyer Moore,10000000,2,8,15026,0,27
Weak Memorizing Boyer Moore,10000000,2,9,15026,0,28
Weak Turbo Boyer Moore,10000000,2,0,15026,0,33
Weak Turbo Boyer Moore,10000000,2,1,15026,0,31
Weak Turbo Boyer Moore,10000000,2,2,15026,0,30
Weak Turbo Boyer Moore,10000000,2,3,15026,0,30
Weak Turbo Boyer Moore,10000000,2,4,15026,0,29
Weak Turbo Boyer Moore,10000000,2,5,15026,0,28
Weak Turbo Boyer Moore,10000000,2,6,15026,0,30
Weak Turbo Boyer Moore,10000000,2,7,15026,0,29
Weak Turbo Boyer Moore,10000000,2,8,15026,0,32
Weak Turbo Boyer Moore,10000000,2,9,15026,0,30
Naive,10000000,2,0,15026,0,30
Naive,10000000,2,1,15026,0,29
Naive,10000000,2,2,15026,0,35
Naive,10000000,2,3,15026,0,35
Naive,10000000,2,4,15026,0,33
Naive,10000000,2,5,15026,0,32
Naive,10000000,2,6,15026,0,29
Naive,10000000,2,7,15026,0,30
Naive,10000000,2,8,15026,0,31
Naive,10000000,2,9,15026,0,35
KMP,10000000,2,0,15026,0,29
KMP,10000000,2,1,15026,0,27
KMP,10000000,2,2,15026,0,27
KMP,10000000,2,3,15026,0,29
KMP,10000000,2,4,15026,0,28
KMP,10000000,2,5,15026,0,28
KMP,10000000,2,6,15026,0,28
KMP,10000000,2,7,15026,0,27
KMP,10000000,2,8,15026,0,29
KMP,10000000,2,9,15026,0,28
Horspool,10000000,2,0,15026,0,20
Horspool,10000000,2,1,15026,0,21
Horspool,10000000,2,2,15026,0,19
Horspool,10000000,2,3,15026,0,20
Horspool,10000000,2,4,15026,0,22
Horspool,10000000,2,5,15026,0,19
Horspool,10000000,2,6,15026,0,19
Horspool,10000000,2,7,15026,0,20
Horspool,10000000,2,8,15026,0,22
Horspool,10000000,2,9,15026,0,24
Shift-And,10000000,2,0,15026,0,9
Shift-And,10000000,2,1,15026,0,8
Shift-And,10000000,2,2,15026,0,8
Shift-And,10000000,2,3,15026,0,9
Shift-And,10000000,2,4,15026,0,8
Shift-And,10000000,2,5,15026,0,8
Shift-And,10000000,2,6,15026,0,9
Shift-And,10000000,2,7,15026,0,9
Shift-And,10000000,2,8,15026,0,9
Shift-And,10000000,2,9,15026,0,9
Weak Boyer Moore,10000000,2,0,14697,0,22
Weak Boyer Moore,10000000,2,1,14697,0,19
Weak Boyer Moore,10000000,2,2,14697,0,19
Weak Boyer Moore,10000000,2,3,14697,0,21
Weak Boyer Moore,10000000,2,4,14697,0,19
Weak Boyer Moore,10000000,2,5,14697,0,27
Weak Boyer Moore,10000000,2,6,14697,0,19
Weak Boyer Moore,10000000,2,7,14697,0,20
Weak Boyer Moore,10000000,2,8,14697,0,20
Weak Boyer Moore,10000000,2,9,14697,0,20
Weak Memorizing Boyer Moore,10000000,2,0,14697,0,32
Weak Memorizing Boyer Moore,10000000,2,1,14697,0,30
Weak Memorizing Boyer Moore,10000000,2,2,14697,0,28
Weak Memorizing Boyer Moore,10000000,2,3,14697,0,28
Weak Memorizing Boyer Moore,10000000,2,4,14697,0,29
Weak Memorizing Boyer Moore,10000000,2,5,14697,0,27
Weak Memorizing Boyer Moore,10000000,2,6,14697,0,26
Weak Memorizing Boyer Moore,10000000,2,7,14697,0,27
Weak Memorizing Boyer Moore,10000000,2,8,14697,0,31
Weak Memorizing Boyer Moore,10000000,2,9,14697,0,29
Weak Turbo Boyer Moore,10000000,2,0,14697,0,30
Weak Turbo Boyer Moore,10000000,2,1,14697,0,30
Weak Turbo Boyer Moore,10000000,2,2,14697,0,30
Weak Turbo Boyer Moore,10000000,2,3,14697,0,28
Weak Turbo Boyer Moore,10000000,2,4,14697,0,29
Weak Turbo Boyer Moore,10000000,2,5,14697,0,29
