algorithm,pattern_length,inspections
Weak Memorizing Boyer Moore,3,371542
Weak Turbo Boyer Moore,3,371542
Weak Boyer Moore,3,209993
Weak Memorizing Boyer Moore,3,202989
Weak Turbo Boyer Moore,3,202989
Weak Boyer Moore,3,371693
Weak Memorizing Boyer Moore,3,371693
Weak Turbo Boyer Moore,3,371693
Weak Boyer Moore,3,373470
Weak Memorizing Boyer Moore,3,373470
Weak Turbo Boyer Moore,3,373470
Weak Boyer Moore,3,210709
Weak Memorizing Boyer Moore,3,203558
Weak Turbo Boyer Moore,3,203558
Weak Boyer Moore,3,372363
Weak Memorizing Boyer Moore,3,372363
Weak Turbo Boyer Moore,3,372363
Weak Boyer Moore,3,371384
Weak Memorizing Boyer Moore,3,371384
Weak Turbo Boyer Moore,3,371384
Weak Boyer Moore,3,371318
Weak Memorizing Boyer Moore,3,371318
Weak Turbo Boyer Moore,3,371318
Weak Boyer Moore,3,371794
Weak Memorizing Boyer Moore,3,371794
Weak Turbo Boyer Moore,3,371794
Weak Boyer Moore,3,371314
Weak Memorizing Boyer Moore,3,371314
Weak Turbo Boyer Moore,3,371314
Weak Boyer Moore,3,371349
Weak Memorizing Boyer Moore,3,371349
Weak Turbo Boyer Moore,3,371349
Weak Boyer Moore,3,370615
Weak Memorizing Boyer Moore,3,370615
Weak Turbo Boyer Moore,3,370615
Weak Boyer Moore,3,371704
Weak Memorizing Boyer Moore,3,371704
Weak Turbo Boyer Moore,3,371704
Weak Boyer Moore,3,371334
Weak Memorizing Boyer Moore,3,371334
Weak Turbo Boyer Moore,3,371334
Weak Boyer Moore,3,372489
Weak Memorizing Boyer Moore,3,372489
Weak Turbo Boyer Moore,3,372489
Weak Boyer Moore,3,372087
Weak Memorizing Boyer Moore,3,372087
Weak Turbo Boyer Moore,3,372087
Weak Boyer Moore,3,371724
Weak Memorizing Boyer Moore,3,371724
Weak Turbo Boyer Moore,3,371724
Weak Boyer Moore,3,371927
Weak Memorizing Boyer Moore,3,371927
Weak Turbo Boyer Moore,3,371927
Weak Boyer Moore,3,372212
Weak Memorizing Boyer Moore,3,372212
Weak Turbo Boyer Moore,3,372212
Weak Boyer Moore,3,370730
Weak Memorizing Boyer Moore,3,370730
Weak Turbo Boyer Moore,3,370730
Weak Boyer Moore,3,372160
Weak Memorizing Boyer Moore,3,372160
Weak Turbo Boyer Moore,3,372160
Weak Boyer Moore,3,372364
Weak Memorizing Boyer Moore,3,372364
Weak Turbo Boyer Moore,3,372364
Weak Boyer Moore,3,372321
Weak Memorizing Boyer Moore,3,372321
Weak Turbo Boyer Moore,3,372321
Weak Boyer Moore,3,371449
Weak Memorizing Boyer Moore,3,371449
Weak Turbo Boyer Moore,3,371449
Weak Boyer Moore,3,372159
Weak Memorizing Boyer Moore,3,372159
Weak Turbo Boyer Moore,3,372159
Weak Boyer Moore,3,385798
Weak Memorizing Boyer Moore,3,385223
Weak Turbo Boyer Moore,3,385223
Weak Boyer Moore,3,371393
Weak Memorizing Boyer Moore,3,371393
Weak Turbo Boyer Moore,3,371393
Weak Boyer Moore,3,372501
