algorithm,pattern_length,inspections
Weak Boyer Moore,4,2483363
Weak Memorizing Boyer Moore,4,2406922
Weak Turbo Boyer Moore,4,2406922
Weak Boyer Moore,4,2483275
Weak Memorizing Boyer Moore,4,2406834
Weak Turbo Boyer Moore,4,2406834
Weak Boyer Moore,4,2384197
Weak Memorizing Boyer Moore,4,2358129
Weak Turbo Boyer Moore,4,2358129
Weak Boyer Moore,4,2486902
Weak Memorizing Boyer Moore,4,2410455
Weak Turbo Boyer Moore,4,2410455
Weak Boyer Moore,4,2048910
Weak Memorizing Boyer Moore,4,2048910
Weak Turbo Boyer Moore,4,2048910
Weak Boyer Moore,4,2484881
Weak Memorizing Boyer Moore,4,2408768
Weak Turbo Boyer Moore,4,2408768
Weak Boyer Moore,4,2046553
Weak Memorizing Boyer Moore,4,2046553
Weak Turbo Boyer Moore,4,2046553
Weak Boyer Moore,4,2047632
Weak Memorizing Boyer Moore,4,2047632
Weak Turbo Boyer Moore,4,2047632
Weak Boyer Moore,4,2047532
Weak Memorizing Boyer Moore,4,2047532
Weak Turbo Boyer Moore,4,2047532
Weak Boyer Moore,4,2484197
Weak Memorizing Boyer Moore,4,2407982
Weak Turbo Boyer Moore,4,2407982
Weak Boyer Moore,4,2048389
Weak Memorizing Boyer Moore,4,2048389
Weak Turbo Boyer Moore,4,2048389
Weak Boyer Moore,4,966118
Weak Memorizing Boyer Moore,4,896896
Weak Turbo Boyer Moore,4,896896
Weak Boyer Moore,4,2169621
Weak Memorizing Boyer Moore,4,2108111
Weak Turbo Boyer Moore,4,2024261
Weak Boyer Moore,4,2044956
Weak Memorizing Boyer Moore,4,2044956
Weak Turbo Boyer Moore,4,2044956
Weak Boyer Moore,4,2045744
Weak Memorizing Boyer Moore,4,2045744
Weak Turbo Boyer Moore,4,2045744
Weak Boyer Moore,4,2045594
Weak Memorizing Boyer Moore,4,2045594
Weak Turbo Boyer Moore,4,2045594
Weak Boyer Moore,4,2381718
Weak Memorizing Boyer Moore,4,2355708
Weak Turbo Boyer Moore,4,2355708
Weak Boyer Moore,4,2048248
Weak Memorizing Boyer Moore,4,2048248
Weak Turbo Boyer Moore,4,2048248
Weak Boyer Moore,4,2046281
Weak Memorizing Boyer Moore,4,2046281
Weak Turbo Boyer Moore,4,2046281
Weak Boyer Moore,4,2047299
Weak Memorizing Boyer Moore,4,2047299
Weak Turbo Boyer Moore,4,2047299
Weak Boyer Moore,4,2047434
Weak Memorizing Boyer Moore,4,2047434
Weak Turbo Boyer Moore,4,2047434
Weak Boyer Moore,4,1963438
Weak Memorizing Boyer Moore,4,1751473
Weak Turbo Boyer Moore,4,1751473
Weak Boyer Moore,4,2048163
Weak Memorizing Boyer Moore,4,2048163
Weak Turbo Boyer Moore,4,2048163
Weak Boyer Moore,4,2047698
Weak Memorizing Boyer Moore,4,2047698
Weak Turbo Boyer Moore,4,2047698
Weak Boyer Moore,4,2048671
Weak Memorizing Boyer Moore,4,2048671
Weak Turbo Boyer Moore,4,2048671
