algorithm,pattern_length,inspections
Weak Turbo Boyer Moore,6,4282111
Weak Boyer Moore,6,5054912
Weak Memorizing Boyer Moore,6,4629115
Weak Turbo Boyer Moore,6,4629115
Weak Boyer Moore,6,4728153
Weak Memorizing Boyer Moore,6,4287829
Weak Turbo Boyer Moore,6,3659227
Weak Boyer Moore,6,5046850
Weak Memorizing Boyer Moore,6,4883097
Weak Turbo Boyer Moore,6,4680693
Weak Boyer Moore,6,4190907
Weak Memorizing Boyer Moore,6,3716605
Weak Turbo Boyer Moore,6,3716605
Weak Boyer Moore,6,4482760
Weak Memorizing Boyer Moore,6,3958947
Weak Turbo Boyer Moore,6,3958947
Weak Boyer Moore,6,5906560
Weak Memorizing Boyer Moore,6,5630247
Weak Turbo Boyer Moore,6,5034767
Weak Boyer Moore,6,5513906
Weak Memorizing Boyer Moore,6,4976332
Weak Turbo Boyer Moore,6,4619711
Weak Boyer Moore,6,6097138
Weak Memorizing Boyer Moore,6,5157797
Weak Turbo Boyer Moore,6,4467727
Weak Boyer Moore,6,5200739
Weak Memorizing Boyer Moore,6,4775373
Weak Turbo Boyer Moore,6,4775373
Weak Boyer Moore,6,5660722
Weak Memorizing Boyer Moore,6,5296660
Weak Turbo Boyer Moore,6,4750406
Weak Boyer Moore,6,4970603
Weak Memorizing Boyer Moore,6,4915473
Weak Turbo Boyer Moore,6,4915473
Weak Boyer Moore,6,2684940
Weak Memorizing Boyer Moore,6,2400383
Weak Turbo Boyer Moore,6,2400383
Weak Boyer Moore,6,2678777
Weak Memorizing Boyer Moore,6,2395682
Weak Turbo Boyer Moore,6,2395682
Weak Boyer Moore,6,4969118
Weak Memorizing Boyer Moore,6,4914427
Weak Turbo Boyer Moore,6,4914427
Weak Boyer Moore,6,5659723
Weak Memorizing Boyer Moore,6,5295672
Weak Turbo Boyer Moore,6,4748494
Weak Boyer Moore,6,5203087
Weak Memorizing Boyer Moore,6,4777515
Weak Turbo Boyer Moore,6,4777515
Weak Boyer Moore,6,6099399
Weak Memorizing Boyer Moore,6,5157390
Weak Turbo Boyer Moore,6,4465236
Weak Boyer Moore,6,5516704
Weak Memorizing Boyer Moore,6,4978479
Weak Turbo Boyer Moore,6,4623490
Weak Boyer Moore,6,5904468
Weak Memorizing Boyer Moore,6,5629424
Weak Turbo Boyer Moore,6,5032702
Weak Boyer Moore,6,4482772
Weak Memorizing Boyer Moore,6,3958069
Weak Turbo Boyer Moore,6,3958069
Weak Boyer Moore,6,4191300
Weak Memorizing Boyer Moore,6,3716365
Weak Turbo Boyer Moore,6,3716365
Weak Boyer Moore,6,5048045
Weak Memorizing Boyer Moore,6,4884714
Weak Turbo Boyer Moore,6,4681796
Weak Boyer Moore,6,4725739
Weak Memorizing Boyer Moore,6,4284571
Weak Turbo Boyer Moore,6,3658382
Weak Boyer Moore,6,5055847
Weak Memorizing Boyer Moore,6,4630556
Weak Turbo Boyer Moore,6,4630556
Weak Boyer Moore,6,4629693
Weak Memorizing Boyer Moore,6,4279597
Weak Turbo Boyer Moore,6,4279597
Weak Boyer Moore,6,5363874
Weak Memorizing Boyer Moore,6,4955224
Weak Turbo Boyer Moore,6,4722742
Weak Boyer Moore,6,5331869
Weak Memorizing Boyer Moore,6,5153593
Weak Turbo Boyer Moore,6,4476742
Weak Boyer Moore,6,3532249
Weak Memorizing Boyer Moore,6,3102067
Weak Turbo Boyer Moore,6,3102067
Weak Boyer Moore,6,3421983
Weak Memorizing Boyer Moore,6,3018128
Weak Turbo Boyer Moore,6,3018128
Weak Boyer Moore,6,5077982
Weak Memorizing Boyer Moore,6,5006919
Weak Turbo Boyer Moore,6,5006919
Weak Boyer Moore,6,5523952
Weak Memorizing Boyer Moore,6,5112237
Weak Turbo Boyer Moore,6,4806875
Weak Boyer Moore,6,5787925
Weak Memorizing Boyer Moore,6,5187405
Weak Turbo Boyer Moore,6,5187405
Weak Boyer Moore,6,4563298
Weak Memorizing Boyer Moore,6,4213202
Weak Turbo Boyer Moore,6,4213202
Weak Boyer Moore,6,4552647
Weak Memorizing Boyer Moore,6,4300666
Weak Turbo Boyer Moore,6,4207216
Weak Boyer Moore,6,5109620
Weak Memorizing Boyer Moore,6,4750997
Weak Turbo Boyer Moore,6,4090273
Weak Boyer Moore,6,4749015
Weak Memorizing Boyer Moore,6,4124430
Weak Turbo Boyer Moore,6,4124430
Weak Boyer Moore,6,4229887
Weak Memorizing Boyer Moore,6,3754952
Weak Turbo Boyer Moore,6,3754952
Weak Boyer Moore,6,5077577
Weak Memorizing Boyer Moore,6,4973365
Weak Turbo Boyer Moore,6,4973365
Weak Boyer Moore,6,4945203
Weak Memorizing Boyer Moore,6,4499577
Weak Turbo Boyer Moore,6,4188011
Weak Boyer Moore,6,5573288
Weak Memorizing Boyer Moore,6,4940928
Weak Turbo Boyer Moore,6,4940928
Weak Boyer Moore,6,4696491
Weak Memorizing Boyer Moore,6,4346395
Weak Turbo Boyer Moore,6,4346395
Weak Boyer Moore,6,4828719
Weak Memorizing Boyer Moore,6,4657411
Weak Turbo Boyer Moore,6,4657411
Weak Boyer Moore,6,4283810
Weak Memorizing Boyer Moore,6,4283810
Weak Turbo Boyer Moore,6,4283810
Weak Boyer Moore,6,2579039
Weak Memorizing Boyer Moore,6,1987810
Weak Turbo Boyer Moore,6,1987810
Weak Boyer Moore,7,2056858
Weak Memorizing Boyer Moore,7,1698774
Weak Turbo Boyer Moore,7,1698774
Weak Boyer Moore,7,3829797
Weak Memorizing Boyer Moore,7,3829797
Weak Turbo Boyer Moore,7,3829797
Weak Boyer Moore,7,4284747
Weak Memorizing Boyer Moore,7,4155151
Weak Turbo Boyer Moore,7,4155151
Weak Boyer Moore,7,4353325
Weak Memorizing Boyer Moore,7,4035147
Weak Turbo Boyer Moore,7,4035147
Weak Boyer Moore,7,5013522
Weak Memorizing Boyer Moore,7,4511086
Weak Turbo Boyer Moore,7,4511086
Weak Boyer Moore,7,4553071
Weak Memorizing Boyer Moore,7,4149251
Weak Turbo Boyer Moore,7,3873341
Weak Boyer Moore,7,4530768
Weak Memorizing Boyer Moore,7,4458868
Weak Turbo Boyer Moore,7,4458868
Weak Boyer Moore,7,4078718
Weak Memorizing Boyer Moore,7,3630311
Weak Turbo Boyer Moore,7,3630311
Weak Boyer Moore,7,4832423
Weak Memorizing Boyer Moore,7,4163684
Weak Turbo Boyer Moore,7,4163684
Weak Boyer Moore,7,4136566
Weak Memorizing Boyer Moore,7,3966757
Weak Turbo Boyer Moore,7,3678125
Weak Boyer Moore,7,4142200
Weak Memorizing Boyer Moore,7,3934531
Weak Turbo Boyer Moore,7,3862609
Weak Boyer Moore,7,4231802
Weak Memorizing Boyer Moore,7,3913624
Weak Turbo Boyer Moore,7,3913624
Weak Boyer Moore,7,5220166
Weak Memorizing Boyer Moore,7,4742237
Weak Turbo Boyer Moore,7,4742237
Weak Boyer Moore,7,5285482
Weak Memorizing Boyer Moore,7,4899280
Weak Turbo Boyer Moore,7,4634848
Weak Boyer Moore,7,4554365
Weak Memorizing Boyer Moore,7,4510288
Weak Turbo Boyer Moore,7,4510288
Weak Boyer Moore,7,3407132
Weak Memorizing Boyer Moore,7,3012692
Weak Turbo Boyer Moore,7,3012692
Weak Boyer Moore,7,3608187
Weak Memorizing Boyer Moore,7,3170261
Weak Turbo Boyer Moore,7,3170261
Weak Boyer Moore,7,4570116
Weak Memorizing Boyer Moore,7,4419411
Weak Turbo Boyer Moore,7,3836607
Weak Boyer Moore,7,4685128
Weak Memorizing Boyer Moore,7,4352142
Weak Turbo Boyer Moore,7,4124838
Weak Boyer Moore,7,4293012
Weak Memorizing Boyer Moore,7,3974834
Weak Turbo Boyer Moore,7,3974834
Weak Boyer Moore,7,5136973
Weak Memorizing Boyer Moore,7,4674456
Weak Turbo Boyer Moore,7,4674456
Weak Boyer Moore,7,3876616
Weak Memorizing Boyer Moore,7,3701006
Weak Turbo Boyer Moore,7,3364615
Weak Boyer Moore,7,4695026
Weak Memorizing Boyer Moore,7,4558618
Weak Turbo Boyer Moore,7,4391901
Weak Boyer Moore,7,4042475
Weak Memorizing Boyer Moore,7,3594068
Weak Turbo Boyer Moore,7,3594068
Weak Boyer Moore,7,4564705
Weak Memorizing Boyer Moore,7,4020486
Weak Turbo Boyer Moore,7,4020486
Weak Boyer Moore,7,5153400
Weak Memorizing Boyer Moore,7,4914524
Weak Turbo Boyer Moore,7,4332362
Weak Boyer Moore,7,5246453
Weak Memorizing Boyer Moore,7,4752144
