algorithm,pattern_length,inspections
Weak Memorizing Boyer Moore,8,1537952
Weak Turbo Boyer Moore,8,1537429
Weak Boyer Moore,8,1321012
Weak Memorizing Boyer Moore,8,1320708
Weak Turbo Boyer Moore,8,1312765
Weak Boyer Moore,8,1321562
Weak Memorizing Boyer Moore,8,1321186
Weak Turbo Boyer Moore,8,1312667
Weak Boyer Moore,8,2230546
Weak Memorizing Boyer Moore,8,2161223
Weak Turbo Boyer Moore,8,2080245
Weak Boyer Moore,8,1319954
Weak Memorizing Boyer Moore,8,1319558
Weak Turbo Boyer Moore,8,1311587
Weak Boyer Moore,8,1614747
Weak Memorizing Boyer Moore,8,1447246
Weak Turbo Boyer Moore,8,1439081
Weak Boyer Moore,8,1371859
Weak Memorizing Boyer Moore,8,1371461
Weak Turbo Boyer Moore,8,1333535
Weak Boyer Moore,8,1372225
Weak Memorizing Boyer Moore,8,1371809
Weak Turbo Boyer Moore,8,1334205
Weak Boyer Moore,8,1320992
Weak Memorizing Boyer Moore,8,1320564
Weak Turbo Boyer Moore,8,1312413
Weak Boyer Moore,8,1320870
Weak Memorizing Boyer Moore,8,1320414
Weak Turbo Boyer Moore,8,1312557
Weak Boyer Moore,8,1320604
Weak Memorizing Boyer Moore,8,1320236
Weak Turbo Boyer Moore,8,1312039
Weak Boyer Moore,8,1717944
Weak Memorizing Boyer Moore,8,1539028
Weak Turbo Boyer Moore,8,1538535
Weak Boyer Moore,8,1715181
Weak Memorizing Boyer Moore,8,1535796
Weak Turbo Boyer Moore,8,1535291
Weak Boyer Moore,8,1372755
Weak Memorizing Boyer Moore,8,1372387
Weak Turbo Boyer Moore,8,1333358
Weak Boyer Moore,8,1993014
Weak Memorizing Boyer Moore,8,1977595
Weak Turbo Boyer Moore,8,1965060
Weak Boyer Moore,8,1877591
Weak Memorizing Boyer Moore,8,1673360
Weak Turbo Boyer Moore,8,1662689
Weak Boyer Moore,8,2064964
Weak Memorizing Boyer Moore,8,2001736
Weak Turbo Boyer Moore,8,1986647
Weak Boyer Moore,8,1991631
Weak Memorizing Boyer Moore,8,1976348
Weak Turbo Boyer Moore,8,1964108
Weak Boyer Moore,8,2066145
Weak Memorizing Boyer Moore,8,2002368
Weak Turbo Boyer Moore,8,1986814
Weak Boyer Moore,8,1371941
Weak Memorizing Boyer Moore,8,1371483
Weak Turbo Boyer Moore,8,1333586
Weak Boyer Moore,8,1320951
Weak Memorizing Boyer Moore,8,1320567
Weak Turbo Boyer Moore,8,1312760
Weak Boyer Moore,8,1990775
Weak Memorizing Boyer Moore,8,1975234
Weak Turbo Boyer Moore,8,1962782
Weak Boyer Moore,8,1321371
Weak Memorizing Boyer Moore,8,1320979
Weak Turbo Boyer Moore,8,1313015
Weak Boyer Moore,8,1320910
Weak Memorizing Boyer Moore,8,1320534
Weak Turbo Boyer Moore,8,1312271
Weak Boyer Moore,8,1321629
Weak Memorizing Boyer Moore,8,1321189
Weak Turbo Boyer Moore,8,1312882
Weak Boyer Moore,8,1321158
Weak Memorizing Boyer Moore,8,1320778
Weak Turbo Boyer Moore,8,1312827
Weak Boyer Moore,8,1320522
Weak Memorizing Boyer Moore,8,1320118
Weak Turbo Boyer Moore,8,1311829
Weak Boyer Moore,8,1308761
Weak Memorizing Boyer Moore,8,1308351
Weak Turbo Boyer Moore,8,1270831
Weak Boyer Moore,8,1321811
Weak Memorizing Boyer Moore,8,1321447
Weak Turbo Boyer Moore,8,1313458
Weak Boyer Moore,8,1990861
Weak Memorizing Boyer Moore,8,1975473
Weak Turbo Boyer Moore,8,1963038
Weak Boyer Moore,8,1320700
Weak Memorizing Boyer Moore,8,1320308
Weak Turbo Boyer Moore,8,1312154
Weak Boyer Moore,8,1322424
Weak Memorizing Boyer Moore,8,1322036
Weak Turbo Boyer Moore,8,1313857
Weak Boyer Moore,8,1321777
Weak Memorizing Boyer Moore,8,1321373
Weak Turbo Boyer Moore,8,1313386
Weak Boyer Moore,8,1321478
Weak Memorizing Boyer Moore,8,1321070
Weak Turbo Boyer Moore,8,1313016
Weak Boyer Moore,8,1991760
Weak Memorizing Boyer Moore,8,1976353
Weak Turbo Boyer Moore,8,1963998
Weak Boyer Moore,8,1320054
Weak Memorizing Boyer Moore,8,1319622
Weak Turbo Boyer Moore,8,1311443
Weak Boyer Moore,8,2069445
Weak Memorizing Boyer Moore,8,2005582
Weak Turbo Boyer Moore,8,1990112
Weak Boyer Moore,8,1321314
Weak Memorizing Boyer Moore,8,1320966
Weak Turbo Boyer Moore,8,1312907
Weak Boyer Moore,8,1989571
Weak Memorizing Boyer Moore,8,1974316
Weak Turbo Boyer Moore,8,1962216
Weak Boyer Moore,8,1321028
Weak Memorizing Boyer Moore,8,1320668
Weak Turbo Boyer Moore,8,1312147
Weak Boyer Moore,8,1321044
Weak Memorizing Boyer Moore,8,1320660
Weak Turbo Boyer Moore,8,1312891
Weak Boyer Moore,8,1320865
Weak Memorizing Boyer Moore,8,1320437
Weak Turbo Boyer Moore,8,1312609
Weak Boyer Moore,8,2068958
Weak Memorizing Boyer Moore,8,2005072
Weak Turbo Boyer Moore,8,1989425
Weak Boyer Moore,8,1305441
Weak Memorizing Boyer Moore,8,1305039
Weak Turbo Boyer Moore,8,1268840
Weak Boyer Moore,8,1321475
Weak Memorizing Boyer Moore,8,1321031
Weak Turbo Boyer Moore,8,1312854
Weak Boyer Moore,8,1321015
Weak Memorizing Boyer Moore,8,1320679
Weak Turbo Boyer Moore,8,1312702
